Coluna;Microrregião
CNAE 2.0 Subclasse;50001:BAIXO PANTANAL;50002:AQUIDAUANA;50003:ALTO TAQUARI;50004:CAMPO GRANDE;50005:CASSILÂNDIA;50006:PARANAÍBA;50007:TRÊS LAGOAS;50008:NOVA ANDRADINA;50009:BODOQUENA;50010:DOURADOS;50011:IGUATEMI;51001:ARIPUANÃ;51002:ALTA FLORESTA;51003:COLÍDER;51004:PARECIS;51005:ARINOS;51006:ALTO TELES PIRES;51007:SINOP;51008:PARANATINGA;51009:NORTE ARAGUAIA;51010:CANARANA;51011:MÉDIO ARAGUAIA;51012:ALTO GUAPORÉ;51013:TANGARÁ DA SERRA;51014:JAURU;51015:ALTO PARAGUAI;51016:ROSÁRIO OESTE;51017:CUIABÁ;51018:ALTO PANTANAL;51019:PRIMAVERA DO LESTE;51020:TESOURO;51021:RONDONÓPOLIS;51022:ALTO ARAGUAIA;52001:SÃO MIGUEL DO ARAGUAIA;52002:RIO VERMELHO;52003:ARAGARÇAS;52004:PORANGATU;52005:CHAPADA DOS VEADEIROS;52006:CERES;52007:ANÁPOLIS;52008:IPORÁ;52009:ANICUNS;52010:GOIÂNIA;52011:VÃO DO PARANÃ;52012:ENTORNO DE BRASÍLIA;52013:SUDOESTE DE GOIÁS;52014:VALE DO RIO DOS BOIS;52015:MEIA PONTE;52016:PIRES DO RIO;52017:CATALÃO;52018:QUIRINÓPOLIS;53001:BRASÍLIA;Total
0133410:Cultivo de manga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;8
0133499:Cultivo de frutas de lavoura permanente não especificadas anteriormente;0;2;0;2;0;0;0;0;0;2;5;2;1;0;12;2;0;7;0;0;0;0;0;0;0;0;0;9;0;0;1;2;0;0;0;0;0;0;1;151;0;0;87;0;11;0;0;2;6;0;0;41;346
0134200:Cultivo de café;0;0;0;0;0;0;9;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;7;0;6;0;20;8;0;102;33;0;0;0;22;0;27;242
0135100:Cultivo de cacau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
0139302:Cultivo de erva-mate;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
0139304:Cultivo de plantas para condimento, exceto pimenta-do-reino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;3;0;1;6;0;0;0;1;0;1;0;0;0;15
0139305:Cultivo de dendê;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0139306:Cultivo de seringueira;0;2;2;6;184;433;14;0;0;0;0;0;0;0;0;4;0;0;2;15;120;16;162;3;4;0;0;0;1;0;4;175;0;64;3;0;14;5;563;0;0;14;0;0;58;1;0;0;2;2;0;0;1873
0139399:Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;0;0;4;14;0;16;3;0;2;20;1;0;0;0;8;0;1;0;0;0;8;0;1;5;0;0;3;3;4;5;0;2;0;0;4;0;2;1;1;21;0;0;28;3;20;15;2;11;1;4;0;28;241
0141501:Produção de sementes certificadas, exceto de forrageiras para pasto;0;17;0;8;24;0;4;0;0;49;0;0;0;1;0;3;59;4;0;0;14;0;0;0;1;0;0;0;0;159;0;15;12;5;0;0;1;10;111;6;0;0;171;1;610;365;9;613;65;192;3;324;2856
0141502:Produção de sementes certificadas de forrageiras para formação de pasto;0;0;4;224;11;0;20;0;0;0;0;0;0;0;1;25;0;0;0;0;2;10;0;69;0;0;0;10;7;12;0;72;15;0;11;1;0;0;1;3;2;1;27;0;2;58;1;4;0;0;27;0;620
0142300:Produção de mudas e outras formas de propagação vegetal, certificadas;0;0;0;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;12;0;12;0;0;0;0;5;0;0;4;0;0;125;0;39;3;2;28;1;0;1;15;279
0151201:Criação de bovinos para corte;2726;2907;3495;4901;1250;2337;5641;2415;2902;3682;3608;2282;2666;1916;828;1883;533;867;1061;2407;2721;1486;2539;1538;2584;404;421;1833;2300;263;1204;2339;365;3008;2275;714;1642;367;840;984;433;720;1848;1001;1698;4088;852;1341;553;1023;1929;364;95984
0151202:Criação de bovinos para leite;18;38;64;253;37;22;45;44;30;92;63;22;28;31;20;13;24;19;6;43;21;38;25;20;59;13;9;71;91;10;32;105;14;240;285;258;344;36;652;838;302;415;1164;46;946;1272;720;1714;1003;409;375;202;12641
0151203:Criação de bovinos, exceto para corte e leite;72;50;67;157;15;94;88;72;38;58;27;15;11;15;2;3;1;8;9;4;6;47;10;18;1;0;4;80;36;3;13;52;15;66;142;36;150;23;83;125;29;46;253;48;246;318;54;116;73;34;12;266;3211
0152101:Criação de bufalinos;0;0;0;1;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;11;0;0;1;0;1;0;0;14;0;4;6;0;1;0;0;8;0;0;3;3;5;4;0;5;0;0;0;1;78
0152102:Criação de eqüinos;0;5;1;25;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;2;0;0;0;3;0;0;0;21;0;3;0;3;0;0;2;1;3;0;0;17;0;2;44;0;24;1;2;7;8;8;0;36;226
0152103:Criação de asininos e muares;0;7;0;5;0;7;3;0;0;6;8;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;2;6;0;0;0;0;0;0;0;59
0153901:Criação de caprinos;0;2;18;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;2;0;0;0;1;0;0;0;42
0153902:Criação de ovinos, inclusive para produção de lã;1;3;0;10;0;0;0;17;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;8;0;2;0;0;0;0;5;0;0;0;3;0;1;0;2;0;2;0;0;0;0;1;0;10;74
